ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
68,4021.T,日産化学,51.1,54,54,60,⏸️ 様子見,6386.0,25.5,0.04,0.16684030287471774,4.65,medical,GC形成中 / 75日MA上 / ⚠信用過熱(4.7倍) / ⚠ペナルティ1件
69,5714.T,DOWAホールディングス,50.9,39,57,72,⏸️ 様子見,9858.0,12.56,0.01,0.07886814954014058,9.17,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.2倍) / ⚠ペナルティ1件
70,5713.T,住友金属鉱山,50.9,39,57,72,⏸️ 様子見,9929.0,13.88,0.01,0.08492867101226925,9.38,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(9.4倍) / ⚠ペナルティ1件
71,9984.T,ソフトバンクグループ,50.4,16,75,78,⏸️ 様子見,3578.0,3.6,0.02,0.48838897286062116,10.94,ai_digital,政策(ai_digital) / 割安 / ⚠信用過熱(10.9倍) / ⚠ペナルティ1件
72,5254.T,Arent,50.2,70,35,72,⏸️ 様子見,4415.0,,,-0.023186615431215217,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
73,4502.T,武田薬品工業,50.1,53,52,60,⏸️ 様子見,5673.0,16.6,0.01,0.07262741837878056,3.14,medical,GC形成中 / 75日MA上 / ⚠信用過熱(3.1倍) / ⚠ペナルティ1件
74,7012.T,川崎重工業,50.0,57,45,90,⏸️ 様子見,16420.0,,,-0.04183093654386276,10.05,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(10.1倍) / ⚠ペナルティ2件
75,4543.T,テルモ,49.7,62,40,60,💼 保有継続,2071.5,39.08,0.04,0.09019660029276425,11.17,medical,⚠信用過熱(11.2倍) / ⚠ペナルティ1件
76,3989.T,シェアリングテクノロジー,49.5,68,35,72,💼 保有継続,1272.0,,,-5.8623852249930595,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
77,8113.T,ユニ・チャーム,49.4,43,45,74,💼 保有継続,917.5,55.8,0.06,0.10617401146445653,10.2,green_energy,政策(green_energy) / RSI底値圏 / ⚠信用過熱(10.2倍) / ⚠ペナルティ1件
78,5444.T,大和工業,49.2,49,35,76,💼 保有継続,11975.0,43.6,0.01,0.015297869532254748,4.83,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(4.8倍) / ⚠ペナルティ1件
79,4449.T,ギフティ,49.2,41,49,72,💼 保有継続,1126.0,117.8,0.2,0.17271474506201195,28.02,startup_growth,政策(startup_growth) / ⚠信用過熱(28.0倍) / ⚠ペナルティ1件
80,4208.T,UBE,48.8,31,57,74,💼 保有継続,2556.0,10.4,0.01,0.06025720178123399,16.35,green_energy,政策(green_energy) / GC形成中 / 割安 / ⚠信用過熱(16.4倍) / ⚠ペナルティ1件
81,4042.T,東ソー,48.1,31,57,72,💼 保有継続,2409.5,10.7,0.01,0.09562945174321688,3.53,rare_earth,政策(rare_earth) / GC形成中 / 割安 / ⚠信用過熱(3.5倍) / ⚠ペナルティ1件
82,4519.T,中外製薬,48.0,46,53,60,💼 保有継続,9362.0,42.12,0.09,0.21911463536336112,4.25,medical,GC形成中 / 75日MA上 / ⚠信用過熱(4.2倍) / ⚠ペナルティ1件
83,1662.T,石油資源開発,48.0,78,35,72,💼 保有継続,2572.0,,,-0.006271691998932087,22.15,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(22.1倍) / ⚠ペナルティ2件
84,8591.T,オリックス,47.8,34,57,68,💼 保有継続,4778.0,12.0,0.01,0.06352544002620478,15.31,finance,RSI底値圏 / 75日MA上 / 割安 / ⚠信用過熱(15.3倍) / ⚠ペナルティ1件
85,3993.T,PKSHA Technology,47.8,49,35,72,💼 保有継続,3045.0,418.8,0.02,0.004855273967393742,5.28,startup_growth,政策(startup_growth) / ⚠信用過熱(5.3倍) / ⚠ペナルティ1件
